shipment_mass_release,shipment_status,shipment_pro,shipment_equipment_type_code,shipment_customer_ref_num,shipment_load_description,revenue_type_rev_type,customer name,carrier name,shipment_customer_total_rates,shipment_carrier_total_rates,shipment_gross_profit,shipment_net_margin,pick_stop_1_name,pickup,pick_stop_last_name,consignee,sales rep name,dispatcher assgn name,shipment_created_at,shipment_miles_truck,shipment_miles_customer,pick_stop_1_ready_or_deliver_date,pick_stop_1_location_zip,pick_stop_last_location_zip
false,RELEASED,12348,FTL,199962612,POD RCVD - FAK,B,BATORY FOODS,PYH EXPRESS INC,945.25,600.0,345.25,0.3652,DYNAMICS 3PL,"WILMINGTON, IL",BELL,"WINDSOR, WI",RYNE BANDOLIK,arciev1,2025-12-23 19:16:00 UTC,172,189,01/05/26,60481,53598
true,RELEASED,12367,FTL,199931809,POD RCVD - PALLETS,B,BATORY FOODS,PYH EXPRESS INC,782.05,500.0,282.05,0.3607,BATORY FOODS WILMINGTON,"WILMINGTON, IL",LEGACY BAKEHOUSE,"WAUKESHA, WI",RYNE BANDOLIK,arciev1,2025-12-29 20:40:00 UTC,134,149,01/05/26,60481,53186
false,RELEASED,12369,TL,199178881,POD RCVD - PALLET,I,BATORY FOODS,IVAN CARTAGE CO,620.12,0.0,620.12,1.0,BATORY'S OAKLEY CHICAGO,"CHICAGO, IL",DENALI-CALHOUN,"NEW BERLIN, WI",IVAN CARTAGE CO,arciev1,2025-12-30 15:23:00 UTC,93,102,01/06/26,60609,53151
false,RELEASED,12370,FTL,199785967,POD RCVD - PALLETS,I,BATORY FOODS,IVAN CARTAGE CO,644.6,0.0,644.6,1.0,BATORY'S OAKLEY CHICAGO,"CHICAGO, IL",THE MASTERSON CO,"MILWAUKEE, WI",IVAN CARTAGE CO,arciev1,2025-12-30 15:28:00 UTC,89,94,01/13/26,60609,53215
false,RELEASED,12371,FTL,199859898,POD RCVD - PALLETS,I,BATORY FOODS,IVAN CARTAGE CO,766.2,0.0,766.2,1.0,BATORY FOODS WILMINGTON,"WILMINGTON, IL",THE MASTERSON CO,"MILWAUKEE, WI",IVAN CARTAGE CO,arciev1,2025-12-30 15:42:00 UTC,126,132,01/12/26,60481,53215
false,RELEASED,12372,FTL,199930056,POD RCVD - PALLETS,B,BATORY FOODS,PYH EXPRESS INC,847.9,525.0,322.9,0.3808,BATORY FOODS WILMINGTON,"WILMINGTON, IL",JENEIL BIOTECH INC.,"SAUKVILLE, WI",RYNE BANDOLIK,arciev1,2025-12-30 15:50:00 UTC,156,159,01/06/26,60481,53080
false,RELEASED,12373,FTL,199930128,POD RCVD - PALLETS,I,BATORY FOODS,IVAN CARTAGE CO,644.6,0.0,644.6,1.0,BATORY'S OAKLEY CHICAGO,"CHICAGO, IL",THE MASTERSON CO,"MILWAUKEE, WI",IVAN CARTAGE CO,arciev1,2025-12-30 15:55:00 UTC,89,94,01/12/26,60609,53215
false,RELEASED,12374,FTL,199931316,POD RCVD - PALLETS,B,BATORY FOODS,"ROADREADY TRANSFER SERVICE, IN",1101.15,800.0,301.15,0.2735,BATORY FOODS WILMINGTON,"WILMINGTON, IL",MAPLE ISLAND,"MEDFORD, WI",RYNE BANDOLIK,arciev1,2025-12-30 16:00:00 UTC,336,364,01/05/26,60481,54451
false,RELEASED,12375,FTL,199754084,POD RCVD - PALLETS,I,BATORY FOODS,IVAN CARTAGE CO,644.6,0.0,644.6,1.0,BATORY'S OAKLEY CHICAGO,"CHICAGO, IL",THE MASTERSON CO,"MILWAUKEE, WI",IVAN CARTAGE CO,arciev1,2025-12-30 16:03:00 UTC,89,94,01/12/26,60609,53215
false,RELEASED,12376,TL,199821980,POD RCVD - PALLET,I,BATORY FOODS,IVAN CARTAGE CO,647.3,0.0,647.3,1.0,BATORY'S OAKLEY CHICAGO,"CHICAGO, IL",DENALI-CALHOUN,"NEW BERLIN, WI",IVAN CARTAGE CO,arciev1,2025-12-30 16:05:00 UTC,93,102,01/14/26,60609,53151
false,RELEASED,12377,FTL,43473594,POD RCVD - TOTES,B,"DANISCO US, INC.",JT FREIGHT INC,2750.0,2300.0,450.0,0.1636,IFF - GENECOR,"BELOIT, WI","CARDINAL COLWICH, LLC","COLWICH, KS",RYNE BANDOLIK,,2025-12-30 16:14:00 UTC,682,705,01/05/26,53511,67030
false,RELEASED,12378,FTL,199831850,POD RCVD - PALLETS,I,BATORY FOODS,IVAN CARTAGE CO,644.6,0.0,644.6,1.0,RYDER SYSTEMS,"CHICAGO, IL",THE MASTERSON CO,"MILWAUKEE, WI",IVAN CARTAGE CO,arciev1,2025-12-30 16:17:00 UTC,101,107,01/15/26,60628,53215
false,RELEASED,12379,FTL,199932993,POD RCVD - PALLETS,I,BATORY FOODS,IVAN CARTAGE CO,647.3,0.0,647.3,1.0,BATORY'S OAKLEY CHICAGO,"CHICAGO, IL",DENALI-RYERSON,"NEW BERLIN, WI",IVAN CARTAGE CO,,2025-12-30 16:19:00 UTC,93,102,01/15/26,60609,53151
false,RELEASED,12380,FTL,199785968,POD RCVD - PALLETS,I,BATORY FOODS,IVAN CARTAGE CO,644.6,0.0,644.6,1.0,BATORY'S OAKLEY CHICAGO,"CHICAGO, IL",THE MASTERSON CO,"MILWAUKEE, WI",IVAN CARTAGE CO,arciev1,2025-12-30 16:21:00 UTC,89,94,01/16/26,60609,53215
false,RELEASED,12381,FTL,199822234,POD RCVD - PALLETS,I,BATORY FOODS,IVAN CARTAGE CO,647.3,0.0,647.3,1.0,BATORY'S OAKLEY CHICAGO,"CHICAGO, IL",DENALI-RYERSON,"NEW BERLIN, WI",IVAN CARTAGE CO,,2025-12-30 16:23:00 UTC,93,102,01/19/26,60609,53151
false,RELEASED,12382,TL,199933036,POD RCVD - PALLET,I,BATORY FOODS,IVAN CARTAGE CO,647.3,0.0,647.3,1.0,BATORY'S OAKLEY CHICAGO,"CHICAGO, IL",DENALI-CALHOUN,"NEW BERLIN, WI",IVAN CARTAGE CO,arciev1,2025-12-30 16:25:00 UTC,93,102,01/19/26,60609,53151
true,RELEASED,12383,FTL,FR-108200,POD RCVD - FAK,B,THE ROYAL GROUP,PYH EXPRESS INC,795.0,625.0,170.0,0.2138,THE ROYAL GROUP,"CICERO, IL",PROCON-LITTLE CHUTE,"LITTLE CHUTE, WI",RYNE BANDOLIK,arciev1,2025-12-30 22:06:00 UTC,190,207,01/05/26,60804,54140
